year,V3,recovery,FishMort
1,1,0,F = 0
1,2,0,F = 0.18
2,1,0,F = 0
2,2,0,F = 0.18
3,1,0,F = 0
3,2,0,F = 0.18
4,1,0.1,F = 0
4,2,0.1,F = 0.18
5,1,0.65,F = 0
5,2,0.25,F = 0.18
6,1,2.1,F = 0
6,2,0.35000000000000003,F = 0.18
7,1,4.2,F = 0
7,2,1.15,F = 0.18
8,1,7.049999999999999,F = 0
8,2,2.45,F = 0.18
9,1,9.700000000000001,F = 0
9,2,3.1,F = 0.18
10,1,12.65,F = 0
10,2,3.85,F = 0.18
11,1,15.65,F = 0
11,2,4,F = 0.18
12,1,21.2,F = 0
12,2,7.1499999999999995,F = 0.18
13,1,30.65,F = 0
13,2,12.8,F = 0.18
14,1,43.15,F = 0
14,2,20.75,F = 0.18
15,1,55.50000000000001,F = 0
15,2,29.599999999999998,F = 0.18
16,1,67.65,F = 0
16,2,38.65,F = 0.18
17,1,76.85,F = 0
17,2,45.75,F = 0.18
18,1,84.65,F = 0
18,2,52.849999999999994,F = 0.18
19,1,88.85,F = 0
19,2,58.050000000000004,F = 0.18
20,1,92.25,F = 0
20,2,62.2,F = 0.18
21,1,94.95,F = 0
21,2,63.800000000000004,F = 0.18
22,1,96.39999999999999,F = 0
22,2,68.75,F = 0.18
23,1,97.55,F = 0
23,2,72.05,F = 0.18
24,1,98.15,F = 0
24,2,74.25,F = 0.18
25,1,99,F = 0
25,2,75.4,F = 0.18
26,1,99.25,F = 0
26,2,79.4,F = 0.18
27,1,99.85000000000001,F = 0
27,2,82.15,F = 0.18
28,1,99.95,F = 0
28,2,84.2,F = 0.18
29,1,99.9,F = 0
29,2,85.15,F = 0.18
30,1,99.95,F = 0
30,2,85.45,F = 0.18
31,1,99.95,F = 0
31,2,85.75,F = 0.18
32,1,99.95,F = 0
32,2,86.85000000000001,F = 0.18
33,1,99.95,F = 0
33,2,87.55,F = 0.18
34,1,100,F = 0
34,2,87.8,F = 0.18
35,1,99.95,F = 0
35,2,87.55,F = 0.18
36,1,100,F = 0
36,2,87.35000000000001,F = 0.18
37,1,100,F = 0
37,2,88.5,F = 0.18
38,1,100,F = 0
38,2,88.4,F = 0.18
39,1,100,F = 0
39,2,88.75,F = 0.18
40,1,100,F = 0
40,2,90.2,F = 0.18
41,1,100,F = 0
41,2,90.35,F = 0.18
42,1,100,F = 0
42,2,89.45,F = 0.18
43,1,100,F = 0
43,2,89.75,F = 0.18
44,1,100,F = 0
44,2,89.60000000000001,F = 0.18
45,1,100,F = 0
45,2,90.8,F = 0.18
46,1,100,F = 0
46,2,91.10000000000001,F = 0.18
47,1,100,F = 0
47,2,90.8,F = 0.18
48,1,100,F = 0
48,2,90.35,F = 0.18
49,1,100,F = 0
49,2,91.5,F = 0.18
50,1,100,F = 0
50,2,89.60000000000001,F = 0.18
