"Year","Unit","Fleet","Estimate_metric_tons","SD_log","SD_mt"
1976,1,1,6329.70390032794,0.609329498391826,2699.70372809103
1977,1,1,0,NA,NA
1978,1,1,14803.6921920953,0.337744263914706,3651.63309399435
1979,1,1,15870.4283939386,0.349215136432638,4040.38671997815
1980,1,1,13249.0363763588,0.271086398588253,2670.95712455421
1981,1,1,13419.1247266687,0.303948312421179,2987.65825027674
1982,1,1,22414.5527486881,0.230437801712792,3939.12648690245
1983,1,1,10766.3204402096,0.239585305572581,1982.51073972241
1984,1,1,4756.43672908258,0.209931967351997,777.528976059718
1985,1,1,4479.23845865616,0.25916040590119,889.032275251768
1986,1,1,1592.18028366497,0.303066943582897,376.338208526723
1987,1,1,3411.98968038759,0.282203149272727,739.048317549097
1988,1,1,3926.44413568237,0.25722462878987,789.42020920213
1989,1,1,6736.99086255066,0.219880260425482,1159.39717784218
1990,1,1,8151.57392086942,0.246404661908708,1543.57847508749
1991,1,1,9036.78699296469,0.242216198760508,1652.62600711428
1992,1,1,8530.9667203945,0.208774230709765,1359.49849508575
1993,1,1,12154.9518833727,0.204709657295856,1920.3135801355
1994,1,1,7877.2158856943,0.198513159516521,1206.17113981472
1995,1,1,6873.2027387825,0.190073841024743,1006.02637565163
1996,1,1,10292.654278633,0.198056497365429,1577.4656083366
1997,1,1,11570.0617725299,0.21892578835494,1937.79597215118
1998,1,1,9204.97746314779,0.259536804496562,1798.02362747325
1999,1,1,2063.314142613,0.246737770813751,395.473994617415
2000,1,1,2799.03946302849,0.301961750330368,645.857797160157
2001,1,1,3160.03767677018,0.244006740930434,613.711320899749
2002,1,1,2077.02715405168,0.307827984446351,500.298453171811
2003,1,1,2005.96223639658,0.278063925375129,437.46235767192
2004,1,1,1983.85723498236,0.273077664763614,426.726099709669
2005,1,1,2632.29602727362,0.376102412428169,760.311024412434
2006,1,1,3581.31020917112,0.214576906650699,604.366633606544
2007,1,1,6231.36990193895,0.206350920219717,987.768552964991
2008,1,1,4949.85726222933,0.230743682174336,882.223639141921
2009,1,1,8693.54668883939,0.250643527367956,1626.57151238513
2010,1,1,9092.69024179875,0.220787500702566,1522.50129719659
2011,1,1,8542.56398512964,0.238086918766392,1553.86240893959
2012,1,1,6167.81919035862,0.199789540916889,947.806023692041
2013,1,1,2666.38721549611,0.22053126987862,456.065482255184
2014,1,1,5889.65795135152,0.269116407263954,1210.95723707229
2015,1,1,3685.76974588672,0.309101737236257,863.159270225799
2016,1,1,3912.28752401658,0.291926657773824,885.065703313358
2017,1,1,1467.18790001193,0.310779139553025,360.96798957673
2018,1,1,2290.97346184037,0.327341695036618,587.914450379158
2019,1,1,3894.67938343171,0.352451592123202,1071.76850899771
