"","year","sex","recruit","lb","ub","recruit_tons"
"1",1978,"Male",3855456.59404159,2728161.23516932,5448558.30253605,2885.52781230877
"2",1979,"Male",3048011.59525818,1934611.71455968,4802190.85561715,2281.21417420429
"3",1980,"Male",847460.915695618,272276.126147007,2637726.68501935,634.262630751324
"4",1981,"Male",1372301.75344684,735400.99437229,2560796.2416759,1027.06768442696
"5",1982,"Male",541988.466134116,199567.858433398,1471937.91489448,405.638801743358
"6",1983,"Male",539824.842401876,264469.602687629,1101869.01448331,404.019487324308
"7",1984,"Male",845767.687656674,499287.020121908,1432688.91971087,632.995373169822
"8",1985,"Male",1189448.12855247,686604.696356129,2060555.16081577,890.215094508138
"9",1986,"Male",1117941.94075215,646328.003977172,1933684.09724179,836.69793289131
"10",1987,"Male",1036126.70868154,582984.804109122,1841486.34557257,775.465204198401
"11",1988,"Male",2647165.49241228,1864480.8356469,3758410.92611019,1981.21012798965
"12",1989,"Male",1360006.44952665,794999.846059022,2326563.39736797,1017.86554699988
"13",1990,"Male",1599177.51193853,1052291.99967879,2430284.28940877,1196.86762772762
"14",1991,"Male",1744537.43805387,1177497.99251409,2584642.09036445,1305.65892115035
"15",1992,"Male",1992697.88570522,1373394.54051414,2891263.03225841,1491.3889005047
"16",1993,"Male",1333076.51751466,846087.448273557,2100365.63617055,997.710458773941
"17",1994,"Male",1610411.025951,1108330.29273142,2339937.55247199,1205.27509291943
"18",1995,"Male",1220779.3204185,721433.006643497,2065752.6553923,913.664204442857
"19",1996,"Male",646287.67436802,323382.399070108,1291621.805148,483.699145264234
"20",1997,"Male",483110.169099945,238374.060112417,979114.234903365,361.572694528965
"21",1998,"Male",223462.747211484,112704.970176451,443064.749612413,167.245553507249
"22",1999,"Male",241590.639379,143042.347247393,408033.272374996,180.812957458507
"23",2000,"Male",279847.474555582,175790.601239052,445499.409315059,209.44540583921
"24",2001,"Male",134322.647238035,48699.5758701047,370487.283280622,100.530695904421
"25",2002,"Male",370644.99622732,242543.025896792,566405.538647844,277.400722591425
"26",2003,"Male",189662.223883181,93040.9315962695,386622.947031583,141.948329234217
"27",2004,"Male",369165.377452785,197575.802536822,689776.147483738,276.293335950855
"28",2005,"Male",626560.113479909,434482.610055752,903551.872314478,468.934506051428
"29",2006,"Male",457714.085182802,232162.584392106,902394.26100157,342.565579631109
"30",2007,"Male",1011555.69918429,735152.764900083,1391880.6830459,757.075597273397
"31",2008,"Male",816677.860096922,571021.647797963,1168016.53622854,611.223760798759
"32",2009,"Male",878525.312928414,620752.667138546,1243340.16801527,657.512064379074
"33",2010,"Male",702921.148355168,464135.029162989,1064556.88487032,526.085166300013
"34",2011,"Male",374370.040368316,202239.354867436,693005.21264638,280.188646202737
"35",2012,"Male",558494.472278413,363959.836046748,857006.858101453,417.992342403916
"36",2013,"Male",500818.981296678,317913.559710022,788955.501790557,374.826447714929
"37",2014,"Male",434955.932351479,268968.40549647,703378.758328652,325.53276358202
"38",2015,"Male",533919.309115869,333920.560214372,853705.529434175,399.599626763662
"39",2016,"Male",408399.034023793,224812.769676698,741905.236216904,305.656863837325
"40",2017,"Male",480700.647079333,262530.987062678,880174.621243175,359.769343191644
"41",2018,"Male",585370.348344331,276505.61302231,1239245.89079903,438.106973700303
